id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100845,Replay - VHS is not dead,333490,https://store.steampowered.com/app/333490/,80,,1080.0,1125.0,2015-07-09T00:00:00.000Z,"[""Time Manipulation"", ""1990's"", ""Platformer"", ""Adventure"", ""Indie"", ""Puzzle"", ""Pixel Graphics""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Wii U""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Team Replay,Positive,10.0,90.0,False
100846,The Magic Circle,323380,https://store.steampowered.com/app/323380/,80,222.0,280.0,543.0,2015-07-09T00:00:00.000Z,"[""Comedy"", ""Simulation"", ""Walking Simulator"", ""Action"", ""Exploration"", ""Programming"", ""Adventure"", ""Indie"", ""First-Person"", ""Singleplayer"", ""Satire"", ""Strategy"", ""Puzzle"", ""Story Rich""]","[{""name"": ""PC""}]",Question,Very Positive,1058.0,91.0,False
100847,Traverser,327520,https://store.steampowered.com/app/327520/,66,199.0,271.0,345.0,2015-07-09T00:00:00.000Z,"[""Action"", ""Adventure"", ""Indie"", ""Puzzle"", ""Female Protagonist""]","[{""name"": ""PC""}]",Gatling Goat Studios,Mostly Positive,106.0,71.0,False
100848,Trove,304050,https://store.steampowered.com/app/304050/,67,3199.0,7212.0,56677.0,2015-07-09T00:00:00.000Z,"[""Action"", ""Adventure"", ""Fantasy"", ""Family Friendly"", ""Pixel Graphics"", ""Multiplayer"", ""Building"", ""RPG"", ""Dungeon Crawler"", ""Colorful"", ""Voxel"", ""Open World"", ""Free to Play"", ""Replay Value"", ""MMO"", ""Procedural Generation"", ""MMORPG"", ""Sandbox"", ""Massively Multiplayer"", ""Crafting""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",gamigo US Inc.,Mostly Positive*,42179.0,77.0,False
100849,F1 2015,286570,https://store.steampowered.com/app/286570/,64,879.0,1900.0,2967.0,2015-07-09T00:00:00.000Z,"[""Multiplayer"", ""Simulation"", ""Driving"", ""Action"", ""Sports"", ""Realistic"", ""Co-op"", ""First-Person"", ""Automobile Sim"", ""Singleplayer"", ""Racing"", ""Controller""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Codemasters, Feral Interactive",Mixed*,2696.0,51.0,False
100850,Spectra,369570,https://store.steampowered.com/app/369570/,60,,,,2015-07-10T00:00:00.000Z,"[""Racing"", ""Indie"", ""Arcade""]","[{""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}]",Gateway Interactive,Mixed,27.0,62.0,False
100851,Card Hunter,293260,https://store.steampowered.com/app/293260/,73,1997.0,11739.0,,2015-07-13T00:00:00.000Z,"[""Comedy"", ""Tactical RPG"", ""Indie"", ""Fantasy"", ""Tabletop"", ""Multiplayer"", ""Turn-Based"", ""Turn-Based Strategy"", ""Board Game"", ""RPG"", ""Dungeon Crawler"", ""Strategy"", ""Free to Play"", ""Co-op"", ""Singleplayer"", ""Trading Card Game"", ""Turn-Based Tactics"", ""Trading"", ""Card Game"", ""Tactical""]","[{""name"": ""PC""}]",The Knights of Unity,Very Positive*,3596.0,84.0,False
100852,Holy Potatoes! A Weapon Shop?!,363600,https://store.steampowered.com/app/363600/,73,646.0,1059.0,1671.0,2015-07-13T00:00:00.000Z,"[""Economy"", ""Simulation"", ""Crafting"", ""Funny"", ""Indie"", ""Casual"", ""RPG"", ""Singleplayer"", ""Strategy"", ""Management""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""PlayStation 5""}]",Daylight Studios,Mostly Positive,1168.0,71.0,False
100853,Batman™: Arkham Knight - A Matter of Family,313102,https://store.steampowered.com/app/313102/,60,72.0,105.0,121.0,2015-10-28T00:00:00.000Z,"[""Action"", ""Female Protagonist"", ""Adventure""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Rocksteady Studios,Mostly Positive,281.0,76.0,True
100854,Deception IV: The Nightmare Princess,,,71,1800.0,2203.0,,2015-07-14T00:00:00.000Z,"[""Strategy""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}]",Koei Tecmo Games,,,,False
