ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
107108,Paradise Marsh,Paradise Marsh,https://store.steampowered.com/app/1709170/,Very Positive,381,95,13/10/2022,LazyEti,LazyEti,"Adventure, Casual, Exploration, Open World, Walking Simulator, Colorful, Cute, First-Person, Pixel Graphics, Atmospheric, Mystery, Nature, Retro, Procedural Generation, Funny, Relaxing, Short, Comedy",FALSE,FALSE
107109,Stay Out of the House,Stay Out of the House,https://store.steampowered.com/app/896520/,Very Positive,1382,94,13/10/2022,Puppet Combo,Puppet Combo,"Action, Puzzle, Management, Stealth, Survival, Horror, Immersive Sim, Metroidvania, Survival Horror, First-Person, 1980s, 1990's, Atmospheric, Old School, Retro, Multiple Endings, Nonlinear, Resource Management, Singleplayer, Indie, Gore",FALSE,FALSE
107110,Sunday Gold,Sunday Gold,https://store.steampowered.com/app/1969440/,Mostly Positive,628,77,13/10/2022,BKOM Studios,Team17,"Action, Adventure, Puzzle, RPG, Simulation, Hidden Object, Point & Click, Investigation, Tactical RPG, Comic Book, Stylized, Crime, Tactical, Combat, Linear, Narration, Story Rich, Turn-Based Combat, Singleplayer, Indie, Turn-Based, Violent",FALSE,FALSE
107111,The Case of the Golden Idol,The Case of the Golden Idol,https://store.steampowered.com/app/1677770/,Overwhelmingly Positive*,5743,98,13/10/2022,Color Gray Games,Playstack,"Adventure, Puzzle, Exploration, Interactive Fiction, Point & Click, Investigation, 2D, Pixel Graphics, Atmospheric, Conspiracy, Crime, Dark, Detective, Historical, Mystery, Thriller, Choices Matter, Story Rich, Singleplayer",FALSE,FALSE
107112,The Darkest Tales,The Darkest Tales,https://store.steampowered.com/app/1307690/,Mostly Positive,646,70,13/10/2022,Trinity Team,101XP,"Action, Adventure, Action-Adventure, Character Action Game, Platformer, 2D Platformer, Hack and Slash, Horror, Metroidvania, 2D, Cute, Atmospheric, Dark, Dark Fantasy, Fantasy, Magic, Supernatural, Surreal, Story Rich, Singleplayer, Emotional, Controller",FALSE,FALSE
107114,Trifox,Trifox,https://store.steampowered.com/app/1211240/,Very Positive,57,82,14/10/2022,Glowfish Interactive,Glowfish Interactive,"Action, Adventure, Action-Adventure, Arcade, Exploration, Platformer, Shooter, 3D Platformer, Collectathon, Dungeon Crawler, Top-Down Shooter, Twin Stick Shooter, 3D, Cartoon, Cartoony, Colorful, Cute, Top-Down, Fantasy, Combat, Singleplayer, Funny, Controller",FALSE,FALSE
107116,Dragon Ball: The Breakers,DRAGON BALL: THE BREAKERS,https://store.steampowered.com/app/1276760/,Mixed*,2397,54,13/10/2022,Dimps Corporation,Bandai Namco Entertainment,"Action, Adventure, Casual, Arcade, Exploration, Stealth, Survival, Anime, Third Person, Destruction, Loot, Superhero, Character Customization, PvP, Team-Based, Villain Protagonist, Co-op, Multiplayer, Online Co-Op, Funny",FALSE,FALSE
107117,Nickelodeon Kart Racers 3: Slime Speedway,Nickelodeon Kart Racers 3: Slime Speedway,https://store.steampowered.com/app/1620040/,Mixed,158,66,14/10/2022,Bamtang Games,GameMill Entertainment,"Action, Adventure, Casual, Racing, Action-Adventure, Arcade, Management, Combat Racing, 3D, Cartoon, Cartoony, Colorful, Cute, Family Friendly, Memes, Combat, Driving, Inventory Management, PvE, PvP, Vehicular Combat, Funny",FALSE,FALSE
107118,Scorn,Scorn,https://store.steampowered.com/app/698670/,Mostly Positive*,5809,75,14/10/2022,Ebb Software,Kepler Interactive,"Action, Adventure, Puzzle, Survival, Walking Simulator, FPS, Horror, Survival Horror, First-Person, Atmospheric, Dark, Lovecraftian, Sci-fi, Surreal, Singleplayer, Indie, Psychological, Gore, Nudity, Sexual Content, Violent",FALSE,FALSE
107119,Star Trek Prodigy: Supernova,Star Trek Prodigy: Supernova,https://store.steampowered.com/app/1655220/,Mixed,44,61,14/10/2022,Tessera Studios,Outright Games Ltd.,"Action, Adventure, Action-Adventure, Platformer, 3D, Cartoon, Split Screen, Aliens, Family Friendly, Sci-fi, Space, Combat, Story Rich, Team-Based, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer",FALSE,FALSE
