=== RAPPORT ANALYSE V24 FINAL (Optimized) ===

Global MAE: 6.63h
Global Precision: 33.96%

     Genre       MAE  Precision  Count
 SoulsLike 12.993228  50.639208      4
   Shooter  4.408098  46.226345     93
Platformer  3.091314  38.813981     20
  Strategy 10.161679  25.230831    139
       RPG  8.823553  24.602401    173
   3D Plat  4.388828  18.635434     10
      JRPG 12.452270   0.000000     30

Title                          | Act    | Pred   | Diff   | St | JRPG | Sls
Guilty Gear -Strive-           | 4.9    | 11.3   | +6.4   | ❌ |        | 
PAYDAY 3                       | 7.5    | 16.1   | +8.6   | ❌ |        | 
Gang Beasts                    | 2.8    | 10.3   | +7.5   | ❌ |        | 
Mass Effect Legendary Edition  | 61.2   | 45.5   | -15.7  | ❌ |        | 
Sniper Elite 4                 | 10.9   | 20.0   | +9.1   | ❌ |        | 
Mafia III: Definitive Edition  | 25.0   | 19.8   | -5.1   | ⚠️ |        | 
Outriders                      | 16.7   | 23.1   | +6.4   | ❌ |        | 
Code Vein                      | 27.2   | 23.2   | -4.0   | ⚠️ |        | 
Broforce                       | 7.3    | 6.3    | -1.0   | ⚠️ |        | 
Blasphemous                    | 14.0   | 13.5   | -0.5   | ✅ |        | YES
AdVenture Capitalist           | 48.0   | 19.4   | -28.5  | ❌ |        | 
Wolfenstein: The New Order     | 11.6   | 11.3   | -0.3   | ✅ |        | 
Hitman: Absolution             | 12.7   | 21.0   | +8.3   | ❌ |        | 
Battlerite                     | 39.6   | 23.8   | -15.8  | ❌ |        | 
Ori and the Blind Forest       | 8.4    | 9.4    | +1.0   | ⚠️ |        | 
Plague Inc: Evolved            | 4.2    | 10.9   | +6.7   | ❌ |        | 
Mortal Kombat X                | 5.9    | 23.2   | +17.3  | ❌ |        | 
The Hungry Lamb: Traveling in  | 7.0    | 9.4    | +2.4   | ❌ |        | 
Control                        | 11.8   | 23.9   | +12.1  | ❌ |        | 
Control: Ultimate Edition      | 13.0   | 12.4   | -0.6   | ✅ |        | 
Dragon Ball Z: Kakarot         | 30.9   | 30.2   | -0.8   | ✅ | YES    | 
Skul: The Hero Slayer          | 23.3   | 6.8    | -16.5  | ❌ |        | 
Five Nights at Freddy's        | 2.4    | 6.5    | +4.1   | ❌ |        | 
Death Stranding Director's Cut | 38.3   | 48.0   | +9.7   | ❌ |        | 
Dragon Ball Xenoverse 2        | 19.3   | 25.1   | +5.9   | ❌ |        | 
Jurassic World Evolution       | 26.0   | 12.6   | -13.5  | ❌ |        | 
Alan Wake                      | 11.3   | 11.4   | +0.0   | ✅ |        | 
Remnant: From the Ashes        | 13.6   | 22.0   | +8.5   | ❌ |        | YES
Little Nightmares II           | 5.7    | 11.9   | +6.2   | ❌ |        | 
A Hat in Time                  | 9.9    | 8.0    | -1.8   | ⚠️ |        | 
PC Building Simulator          | 22.9   | 13.9   | -9.0   | ❌ |        | 
Age of Empires III: Definitive | 21.0   | 21.9   | +0.9   | ✅ |        | 
Sid Meier's Civilization VII   | 24.6   | 25.4   | +0.8   | ✅ |        | 
Persona 3 Reload               | 65.2   | 33.6   | -31.6  | ❌ |        | 
Dredge                         | 9.8    | 17.8   | +8.1   | ❌ |        | 
Granblue Fantasy: Relink       | 15.9   | 18.9   | +3.0   | ⚠️ | YES    | 
They Are Billions              | 68.6   | 20.7   | -47.9  | ❌ |        | 
SOMA                           | 9.2    | 9.1    | -0.0   | ✅ |        | 
Medieval Dynasty               | 28.2   | 19.6   | -8.6   | ❌ |        | 
What Remains of Edith Finch    | 2.2    | 7.4    | +5.2   | ❌ |        | 
Watch Dogs                     | 19.6   | 12.6   | -7.0   | ❌ |        | 
Rain World                     | 21.5   | 17.3   | -4.3   | ⚠️ |        | 
Lego Star Wars: The Skywalker  | 19.2   | 13.9   | -5.3   | ❌ |        | 
Graveyard Keeper               | 46.7   | 21.7   | -25.0  | ❌ |        | 


             Feature  Importance
  franchise_momentum    0.263794
     INT_Quality_RPG    0.063151
    log_review_count    0.053895
        KW_TurnBased    0.031868
INT_Quality_Strategy    0.024791
     studio_avg_time    0.021393
              studio    0.014565
        is_AAA_proxy    0.011548
             KW_JRPG    0.010991
is_content_expansion    0.007259
       KW_PartyBased    0.002080
       KW_Management    0.001057
               KW_2D    0.000938
              is_rpg    0.000767
        KW_SoulsLike    0.000174
      KW_SideContent    0.000115
       KW_Platformer    0.000059
   INT_3D_Platformer    0.000011
        INT_JRPG_AAA    0.000000
               KW_4X    0.000000
           log_hypes    0.000000
         KW_Strategy   -0.000048
               KW_3D   -0.000092
   KW_DungeonCrawler   -0.000375
       quality_index   -0.000579
